smiles zinc_id source_line source_data source_name source_label found_by
N#Cc1cccc(C#N)c1 ZINC000000388279 234 388279  388279 ZINC
N#Cc1ccc(O)cc1 ZINC000000388759 235 388759  388759 ZINC
CCC#N ZINC000006072456 236 6072456  6072456 ZINC
N#CCC(=O)c1ccccc1 ZINC000000074119 237 74119  74119 ZINC
N#C[C@H](O)c1ccccc1 ZINC000008100870 238 8100870  8100870 ZINC
N#Cc1ccccc1 ZINC000000899417 239 899417  899417 ZINC
C=CC#N ZINC000000901212 240 901212  901212 ZINC
N#Cc1ccc(N)cc1 ZINC000000152697 221 152697  152697 ZINC
N#CCc1ccc([N+](=O)[O-])cc1 ZINC000000154682 222 154682  154682 ZINC
CN(C)c1ccc(C#N)cc1 ZINC000000155390 223 155390  155390 ZINC
N#Cc1ccc(Cl)cc1 ZINC000000157255 224 157255  157255 ZINC
N#Cc1c(Cl)cccc1Cl ZINC000000157318 225 157318  157318 ZINC
N#Cc1ccccc1N ZINC000000157544 226 157544  157544 ZINC
COc1ccc(C#N)cc1 ZINC000000159092 227 159092  159092 ZINC
N#C/C=C/c1ccccc1 ZINC000001675000 228 1675000  1675000 ZINC
N#CCCc1ccccc1 ZINC000001747831 229 1747831  1747831 ZINC
N#CC1CCCCC1 ZINC000001758832 230 1758832  1758832 ZINC
C[C@@H](C#N)CCC#N ZINC000002037734 231 2037734  2037734 ZINC
C[C@@H](C#N)c1ccccc1 ZINC000002039218 232 2039218  2039218 ZINC
CCCCC#N ZINC000002041071 233 2041071  2041071 ZINC
N#Cc1cccc(C#N)c1 ZINC000000388279 234 388279  388279 ZINC
N#Cc1ccc(O)cc1 ZINC000000388759 235 388759  388759 ZINC
CCC#N ZINC000006072456 236 6072456  6072456 ZINC
N#CCC(=O)c1ccccc1 ZINC000000074119 237 74119  74119 ZINC
N#C[C@H](O)c1ccccc1 ZINC000008100870 238 8100870  8100870 ZINC
N#Cc1ccccc1 ZINC000000899417 239 899417  899417 ZINC
C=CC#N ZINC000000901212 240 901212  901212 ZINC
N#Cc1ccc(N)cc1 ZINC000000152697 221 152697  152697 ZINC
N#CCc1ccc([N+](=O)[O-])cc1 ZINC000000154682 222 154682  154682 ZINC
CN(C)c1ccc(C#N)cc1 ZINC000000155390 223 155390  155390 ZINC
N#Cc1ccc(Cl)cc1 ZINC000000157255 224 157255  157255 ZINC
N#Cc1c(Cl)cccc1Cl ZINC000000157318 225 157318  157318 ZINC
N#Cc1ccccc1N ZINC000000157544 226 157544  157544 ZINC
COc1ccc(C#N)cc1 ZINC000000159092 227 159092  159092 ZINC
N#C/C=C/c1ccccc1 ZINC000001675000 228 1675000  1675000 ZINC
N#CCCc1ccccc1 ZINC000001747831 229 1747831  1747831 ZINC
N#CC1CCCCC1 ZINC000001758832 230 1758832  1758832 ZINC
C[C@@H](C#N)CCC#N ZINC000002037734 231 2037734  2037734 ZINC
C[C@@H](C#N)c1ccccc1 ZINC000002039218 232 2039218  2039218 ZINC
CCCCC#N ZINC000002041071 233 2041071  2041071 ZINC
N#Cc1cccc(C#N)c1 ZINC000000388279 234 388279  388279 ZINC
N#Cc1ccc(O)cc1 ZINC000000388759 235 388759  388759 ZINC
CCC#N ZINC000006072456 236 6072456  6072456 ZINC
N#CCC(=O)c1ccccc1 ZINC000000074119 237 74119  74119 ZINC
N#C[C@H](O)c1ccccc1 ZINC000008100870 238 8100870  8100870 ZINC
N#Cc1ccccc1 ZINC000000899417 239 899417  899417 ZINC
C=CC#N ZINC000000901212 240 901212  901212 ZINC
N#Cc1ccc(N)cc1 ZINC000000152697 221 152697  152697 ZINC
N#CCc1ccc([N+](=O)[O-])cc1 ZINC000000154682 222 154682  154682 ZINC
CN(C)c1ccc(C#N)cc1 ZINC000000155390 223 155390  155390 ZINC
N#Cc1ccc(Cl)cc1 ZINC000000157255 224 157255  157255 ZINC
N#Cc1c(Cl)cccc1Cl ZINC000000157318 225 157318  157318 ZINC
N#Cc1ccccc1N ZINC000000157544 226 157544  157544 ZINC
COc1ccc(C#N)cc1 ZINC000000159092 227 159092  159092 ZINC
N#C/C=C/c1ccccc1 ZINC000001675000 228 1675000  1675000 ZINC
N#CCCc1ccccc1 ZINC000001747831 229 1747831  1747831 ZINC
N#CC1CCCCC1 ZINC000001758832 230 1758832  1758832 ZINC
C[C@@H](C#N)CCC#N ZINC000002037734 231 2037734  2037734 ZINC
C[C@@H](C#N)c1ccccc1 ZINC000002039218 232 2039218  2039218 ZINC
CCCCC#N ZINC000002041071 233 2041071  2041071 ZINC
N#Cc1cccc(C#N)c1 ZINC000000388279 234 388279  388279 ZINC
N#Cc1ccc(O)cc1 ZINC000000388759 235 388759  388759 ZINC
CCC#N ZINC000006072456 236 6072456  6072456 ZINC
N#CCC(=O)c1ccccc1 ZINC000000074119 237 74119  74119 ZINC
N#C[C@H](O)c1ccccc1 ZINC000008100870 238 8100870  8100870 ZINC
N#Cc1ccccc1 ZINC000000899417 239 899417  899417 ZINC
C=CC#N ZINC000000901212 240 901212  901212 ZINC
N#Cc1ccc(N)cc1 ZINC000000152697 221 152697  152697 ZINC
N#CCc1ccc([N+](=O)[O-])cc1 ZINC000000154682 222 154682  154682 ZINC
CN(C)c1ccc(C#N)cc1 ZINC000000155390 223 155390  155390 ZINC
N#Cc1ccc(Cl)cc1 ZINC000000157255 224 157255  157255 ZINC
N#Cc1c(Cl)cccc1Cl ZINC000000157318 225 157318  157318 ZINC
N#Cc1ccccc1N ZINC000000157544 226 157544  157544 ZINC
COc1ccc(C#N)cc1 ZINC000000159092 227 159092  159092 ZINC
N#C/C=C/c1ccccc1 ZINC000001675000 228 1675000  1675000 ZINC
N#CCCc1ccccc1 ZINC000001747831 229 1747831  1747831 ZINC
N#CC1CCCCC1 ZINC000001758832 230 1758832  1758832 ZINC
C[C@@H](C#N)CCC#N ZINC000002037734 231 2037734  2037734 ZINC
C[C@@H](C#N)c1ccccc1 ZINC000002039218 232 2039218  2039218 ZINC
CCCCC#N ZINC000002041071 233 2041071  2041071 ZINC
N#Cc1cccc(C#N)c1 ZINC000000388279 234 388279  388279 ZINC
N#Cc1ccc(O)cc1 ZINC000000388759 235 388759  388759 ZINC
CCC#N ZINC000006072456 236 6072456  6072456 ZINC
N#CCC(=O)c1ccccc1 ZINC000000074119 237 74119  74119 ZINC
N#C[C@H](O)c1ccccc1 ZINC000008100870 238 8100870  8100870 ZINC
N#Cc1ccccc1 ZINC000000899417 239 899417  899417 ZINC
C=CC#N ZINC000000901212 240 901212  901212 ZINC
N#Cc1ccc(N)cc1 ZINC000000152697 221 152697  152697 ZINC
N#CCc1ccc([N+](=O)[O-])cc1 ZINC000000154682 222 154682  154682 ZINC
CN(C)c1ccc(C#N)cc1 ZINC000000155390 223 155390  155390 ZINC
N#Cc1ccc(Cl)cc1 ZINC000000157255 224 157255  157255 ZINC
N#Cc1c(Cl)cccc1Cl ZINC000000157318 225 157318  157318 ZINC
N#Cc1ccccc1N ZINC000000157544 226 157544  157544 ZINC
COc1ccc(C#N)cc1 ZINC000000159092 227 159092  159092 ZINC
N#C/C=C/c1ccccc1 ZINC000001675000 228 1675000  1675000 ZINC
N#CCCc1ccccc1 ZINC000001747831 229 1747831  1747831 ZINC
N#CC1CCCCC1 ZINC000001758832 230 1758832  1758832 ZINC
C[C@@H](C#N)CCC#N ZINC000002037734 231 2037734  2037734 ZINC
C[C@@H](C#N)c1ccccc1 ZINC000002039218 232 2039218  2039218 ZINC
CCCCC#N ZINC000002041071 233 2041071  2041071 ZINC
N#Cc1cccc(C#N)c1 ZINC000000388279 234 388279  388279 ZINC
N#Cc1ccc(O)cc1 ZINC000000388759 235 388759  388759 ZINC
CCC#N ZINC000006072456 236 6072456  6072456 ZINC
N#CCC(=O)c1ccccc1 ZINC000000074119 237 74119  74119 ZINC
N#C[C@H](O)c1ccccc1 ZINC000008100870 238 8100870  8100870 ZINC
N#Cc1ccccc1 ZINC000000899417 239 899417  899417 ZINC
C=CC#N ZINC000000901212 240 901212  901212 ZINC
N#Cc1ccc(N)cc1 ZINC000000152697 221 152697  152697 ZINC
N#CCc1ccc([N+](=O)[O-])cc1 ZINC000000154682 222 154682  154682 ZINC
CN(C)c1ccc(C#N)cc1 ZINC000000155390 223 155390  155390 ZINC
N#Cc1ccc(Cl)cc1 ZINC000000157255 224 157255  157255 ZINC
N#Cc1c(Cl)cccc1Cl ZINC000000157318 225 157318  157318 ZINC
N#Cc1ccccc1N ZINC000000157544 226 157544  157544 ZINC
COc1ccc(C#N)cc1 ZINC000000159092 227 159092  159092 ZINC
N#C/C=C/c1ccccc1 ZINC000001675000 228 1675000  1675000 ZINC
N#CCCc1ccccc1 ZINC000001747831 229 1747831  1747831 ZINC
N#CC1CCCCC1 ZINC000001758832 230 1758832  1758832 ZINC
C[C@@H](C#N)CCC#N ZINC000002037734 231 2037734  2037734 ZINC
C[C@@H](C#N)c1ccccc1 ZINC000002039218 232 2039218  2039218 ZINC
CCCCC#N ZINC000002041071 233 2041071  2041071 ZINC
N#Cc1cccc(C#N)c1 ZINC000000388279 234 388279  388279 ZINC
N#Cc1ccc(O)cc1 ZINC000000388759 235 388759  388759 ZINC
CCC#N ZINC000006072456 236 6072456  6072456 ZINC
N#CCC(=O)c1ccccc1 ZINC000000074119 237 74119  74119 ZINC
N#C[C@H](O)c1ccccc1 ZINC000008100870 238 8100870  8100870 ZINC
N#Cc1ccccc1 ZINC000000899417 239 899417  899417 ZINC
C=CC#N ZINC000000901212 240 901212  901212 ZINC
N#Cc1ccc(N)cc1 ZINC000000152697 221 152697  152697 ZINC
N#CCc1ccc([N+](=O)[O-])cc1 ZINC000000154682 222 154682  154682 ZINC
CN(C)c1ccc(C#N)cc1 ZINC000000155390 223 155390  155390 ZINC
N#Cc1ccc(Cl)cc1 ZINC000000157255 224 157255  157255 ZINC
N#Cc1c(Cl)cccc1Cl ZINC000000157318 225 157318  157318 ZINC
N#Cc1ccccc1N ZINC000000157544 226 157544  157544 ZINC
COc1ccc(C#N)cc1 ZINC000000159092 227 159092  159092 ZINC
N#C/C=C/c1ccccc1 ZINC000001675000 228 1675000  1675000 ZINC
N#CCCc1ccccc1 ZINC000001747831 229 1747831  1747831 ZINC
N#CC1CCCCC1 ZINC000001758832 230 1758832  1758832 ZINC
C[C@@H](C#N)CCC#N ZINC000002037734 231 2037734  2037734 ZINC
C[C@@H](C#N)c1ccccc1 ZINC000002039218 232 2039218  2039218 ZINC
CCCCC#N ZINC000002041071 233 2041071  2041071 ZINC
N#Cc1cccc(C#N)c1 ZINC000000388279 234 388279  388279 ZINC
N#Cc1ccc(O)cc1 ZINC000000388759 235 388759  388759 ZINC
CCC#N ZINC000006072456 236 6072456  6072456 ZINC
N#CCC(=O)c1ccccc1 ZINC000000074119 237 74119  74119 ZINC
N#C[C@H](O)c1ccccc1 ZINC000008100870 238 8100870  8100870 ZINC
N#Cc1ccccc1 ZINC000000899417 239 899417  899417 ZINC
C=CC#N ZINC000000901212 240 901212  901212 ZINC
N#Cc1ccc(N)cc1 ZINC000000152697 221 152697  152697 ZINC
N#CCc1ccc([N+](=O)[O-])cc1 ZINC000000154682 222 154682  154682 ZINC
CN(C)c1ccc(C#N)cc1 ZINC000000155390 223 155390  155390 ZINC
N#Cc1ccc(Cl)cc1 ZINC000000157255 224 157255  157255 ZINC
N#Cc1c(Cl)cccc1Cl ZINC000000157318 225 157318  157318 ZINC
N#Cc1ccccc1N ZINC000000157544 226 157544  157544 ZINC
COc1ccc(C#N)cc1 ZINC000000159092 227 159092  159092 ZINC
N#C/C=C/c1ccccc1 ZINC000001675000 228 1675000  1675000 ZINC
N#CCCc1ccccc1 ZINC000001747831 229 1747831  1747831 ZINC
N#CC1CCCCC1 ZINC000001758832 230 1758832  1758832 ZINC
C[C@@H](C#N)CCC#N ZINC000002037734 231 2037734  2037734 ZINC
C[C@@H](C#N)c1ccccc1 ZINC000002039218 232 2039218  2039218 ZINC
CCCCC#N ZINC000002041071 233 2041071  2041071 ZINC
N#Cc1cccc(C#N)c1 ZINC000000388279 234 388279  388279 ZINC
N#Cc1ccc(O)cc1 ZINC000000388759 235 388759  388759 ZINC
CCC#N ZINC000006072456 236 6072456  6072456 ZINC
N#CCC(=O)c1ccccc1 ZINC000000074119 237 74119  74119 ZINC
N#C[C@H](O)c1ccccc1 ZINC000008100870 238 8100870  8100870 ZINC
N#Cc1ccccc1 ZINC000000899417 239 899417  899417 ZINC
C=CC#N ZINC000000901212 240 901212  901212 ZINC
