accuracy,f1_score,recall,precision,roc_auc,mcc,seed,fold,similarity
0.7737979993546306,0.5497752087347463,0.874361593462717,0.4009367681498829,0.9066736002909148,0.4829667826181864,0,0,20
0.7595998709261051,0.5212082262210798,0.8283963227783453,0.38021565869667134,0.8811623906598837,0.4414646486325927,1,0,20
0.7826718296224588,0.5460060667340748,0.8273748723186926,0.4074446680080483,0.8884194057189875,0.47009725400817637,2,0,20
0.7421748951274605,0.5172205438066466,0.874361593462717,0.36722436722436724,0.8992347635270748,0.4455105508395703,3,0,20
0.7342691190706679,0.5079175380938152,0.8682328907048008,0.3589527027027027,0.8886548540621493,0.43336208067583026,4,0,20
0.8511825671007175,0.7658862876254181,0.8063380281690141,0.7292993630573248,0.9272949985792179,0.6589917232082366,0,0,40
0.8538400212596333,0.7702589807852966,0.8116197183098591,0.7329093799682035,0.9278948098564742,0.6653520532399069,1,0,40
0.8551687483390912,0.7712966848510281,0.8089788732394366,0.7369687249398557,0.9271825758509948,0.6672121917857776,2,0,40
0.8535742758437417,0.770512286547272,0.8142605633802817,0.7312252964426877,0.9284059898025381,0.6655242744828661,3,0,40
0.8572947116662237,0.7746537977339487,0.8125,0.7401764234161988,0.9267442780014691,0.6721313009723047,4,0,40
0.7882182119892138,0.7451959071624658,0.8894846589216563,0.6411853124328967,0.9143142874137774,0.5945086056172584,0,0,60
0.7927815805849409,0.7479182437547313,0.8829311885612153,0.6487196323046619,0.913063833891542,0.5987443494470868,1,0,60
0.7906036092097075,0.7469607720265697,0.8876973488233542,0.6447425356988317,0.9153623592303715,0.597367006580775,2,0,60
0.7838622692387471,0.7390433258201855,0.8790586833482276,0.63750270036725,0.9090824359458347,0.5836327552143534,3,0,60
0.7798174652561709,0.7357809583074052,0.880548108430146,0.6318939717828131,0.9081893022547076,0.5781730205116803,4,0,60
0.8635676828726335,0.7776329132261336,0.8523340743093045,0.7149706979222163,0.9380102212196215,0.6857812881580123,0,0,80
0.8647231357212692,0.7793563351696143,0.853604318831375,0.7169911976527074,0.9386689391114356,0.6882775516477915,1,0,80
0.8721002577548662,0.7898963352314206,0.8590028580501746,0.731081081081081,0.9404676356135361,0.7035118782278159,2,0,80
0.8724557817082926,0.7898667447649729,0.8564623690060337,0.7328804347826087,0.9415173276200027,0.7034748977296734,3,0,80
0.8663229935116878,0.7804379562043796,0.8488409018736107,0.7222372331802216,0.9382820217206796,0.6898612577870359,4,0,80
